id,token_name,token_address,network,price_at_alert,score,base_score,momentum_bonus,confidence_score,volume_24h,volume_6h,volume_1h,liquidity,buys_24h,sells_24h,buy_ratio,total_txns,age_hours,created_at
63,THQ / WETH 0.3%,0x01f706e88740a7d29673620787c2d50ea66bc04d,base,0.0819444458091304,95,65,30,85,236405.762287694,236405.762287694,236405.762287694,256065.2684,814,453,0.0,1267,0.25100063166666664,2025-12-17 06:29:02

64,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.9883715409585,100,100,10,85,1626594.73725192,93767.316272522,17841.1094697406,1119625.1282,2058,1869,0.0,3927,44.560268442777776,2025-12-17 06:34:25

65,THQ / WETH 0.3%,0x01f706e88740a7d29673620787c2d50ea66bc04d,base,0.0706966179293427,95,65,30,85,292227.610393859,292227.610393859,292227.610393859,235560.0316,882,495,0.0,1377,0.34101937416666667,2025-12-17 06:34:26

66,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0477077400923,100,100,10,85,1613367.9201694,94023.5069015035,16965.9232161357,1117789.4193,2047,1858,0.0,3905,44.6502912175,2025-12-17 06:39:49

67,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0584988028065,100,100,10,85,1570093.21713097,93744.6074287136,14598.4375970059,1112815.0882,2028,1835,0.0,3863,44.74002455083333,2025-12-17 06:45:12

68,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.9315150748676,100,100,10,85,1561573.47451524,93756.4103456375,14510.1972942777,1114744.1666,2015,1825,0.0,3840,44.82968091083333,2025-12-17 06:50:36

69,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.130614399652282,60,50,10,85,8523141.67134458,1027511.77592846,182139.185261802,925156.924,17598,15971,0.0,33569,48.760792037222224,2025-12-17 06:50:38

70,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0838250352351,100,100,10,85,1553405.15534572,94478.740582563,13964.1937819093,1115178.5423,2005,1819,0.0,3824,44.9203251475,2025-12-17 06:56:01

71,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.128445364467109,60,50,10,85,8460673.36179017,1029160.54344853,198001.34373562,918203.5788,17480,15871,0.0,33351,48.851436285,2025-12-17 06:56:03

72,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.1092056499217,100,100,10,85,1535441.42446938,95664.195166565,14126.9942539872,1116558.4794,1987,1809,0.0,3796,45.010406486388895,2025-12-17 07:01:25

73,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.128772010708808,60,50,10,85,8423320.33732782,1023545.94977474,199948.285680508,920533.3997,17395,15807,0.0,33202,48.94151761111112,2025-12-17 07:01:27

74,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,23.0421264822014,100,100,10,85,1526068.96811914,95665.9915721108,14783.3074519163,1118050.3462,1974,1802,0.0,3776,45.10045695083333,2025-12-17 07:06:51

75,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.7011110260972,100,100,10,85,1511907.9339536,103597.718526641,21281.321374628,1108172.221,1962,1798,0.0,3760,45.19043223,2025-12-17 07:12:14

76,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.8002316648721,100,100,10,85,1508399.13812281,105073.784066774,22816.1942813861,1106556.7154,1962,1795,0.0,3757,45.28009907,2025-12-17 07:17:36

77,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.7725506077757,100,100,10,85,1499058.26526187,105011.074765874,21159.7517677598,1108805.25,1945,1786,0.0,3731,45.36975421305556,2025-12-17 07:22:59

78,MEC / USDT,0x626ae6b43a89739964aa95196a1c6f5a8e06cf7a,bsc,22.3536221900431,100,100,10,85,1490851.95665992,109245.550563422,17670.0412635136,1101917.2214,1935,1780,0.0,3715,45.459405932222225,2025-12-17 07:28:22

79,AIA / USDC 0.01%,0xadedafd06cc16dec264fb02d3f8570e072daee35,bsc,0.126317429637894,58,60,-2,85,8088773.44869229,933656.283461084,200118.854878018,910528.2749,16719,15140,0.0,31859,49.390517062777775,2025-12-17 07:28:24

